cond,animal,p_base,p_sub,delta_lp,seq
Q4_form_23,giraffe,0.074721,0.056392,-0.2814,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q4_form_32,cat,0.011462,0.000941,-2.5000,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_32,elephant,0.011462,0.149803,2.5703,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_32,owl,0.001871,0.003961,0.7500,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_32,panda,0.262912,0.000941,-5.6328,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_32,dolphin,0.337585,0.031647,-2.3672,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_32,koala,0.006527,0.021694,1.2011,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_32,penguin,0.001984,0.071241,3.5811,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_32,giraffe,0.074721,0.008381,-2.1878,"32, 32, 32, 32, 32, 32, 32, 32, 32, 32"
Q4_form_023,cat,0.011462,0.031647,1.0156,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_023,elephant,0.011462,0.110457,2.2656,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_023,owl,0.001871,0.005586,1.0938,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_023,panda,0.262912,0.008652,-3.4141,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_023,dolphin,0.337585,0.080812,-1.4297,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_023,koala,0.006527,0.052025,2.0758,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_023,penguin,0.001984,0.069055,3.5499,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_023,giraffe,0.074721,0.023143,-1.1721,"023, 023, 023, 023, 023, 023, 023, 023, 023, 023"
Q4_form_230,cat,0.011462,0.010115,-0.1250,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_230,elephant,0.011462,0.125165,2.3906,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_230,owl,0.001871,0.002402,0.2500,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_230,panda,0.262912,0.004778,-4.0078,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_230,dolphin,0.337585,0.011462,-3.3828,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_230,koala,0.006527,0.043157,1.8889,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_230,penguin,0.001984,0.037738,2.9456,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_230,giraffe,0.074721,0.066948,-0.1099,"230, 230, 230, 230, 230, 230, 230, 230, 230, 230"
Q4_form_24,cat,0.011462,0.009210,-0.2188,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_24,elephant,0.011462,0.064935,1.7344,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_24,owl,0.001871,0.003183,0.5312,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_24,panda,0.262912,0.000278,-6.8516,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_24,dolphin,0.337585,0.088755,-1.3359,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_24,koala,0.006527,0.022121,1.2206,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_24,penguin,0.001984,0.009614,1.5782,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_24,giraffe,0.074721,0.002328,-3.4687,"24, 24, 24, 24, 24, 24, 24, 24, 24, 24"
Q4_form_22,cat,0.011462,0.216265,2.9375,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
